Code,Name,Zone,Latitude,Longitude
AGAS1,AGOST. A. SOUSA,GDM1,41.18784212,-8.524858271
AGAS2,AGOSTINHO A. SOUSA,GDM1,41.18727994,-8.524925926
AGM1,AGRAMONTE,PRT1,41.15897517,-8.63454895
AGM2,AGRAMONTE,PRT1,41.15871475,-8.634411798
AGN,AGUIAR NOGUEIRA,VLG1,41.18562726,-8.48594285
AGOM1,AUGUSTO GOMES,VNG1,41.12358013,-8.63376
AGR1,AGRA,MAI4,41.21273378,-8.594442585
AGR2,AGRA,MAI4,41.21247971,-8.594523719
AGR3,ROT.AGRA,MAI4,41.21408991,-8.594840568
AGR4,ROT.AGRA,MAI4,41.21406518,-8.594611856
AGRO1,AGRO,VNG1,41.13635355,-8.626223283
AGRO2,AGRO,VNG1,41.13605495,-8.625205751
AGU1,AGUIM,VNG4,41.10842266,-8.636620711
AGU2,AGUIM,VNG4,41.1086678,-8.636158308
AH,ALEX. HERCULANO,VNG1,41.13570588,-8.632394535
AHRQ1,D.AFONSO HENRIQUES,VLG2,41.23575699,-8.536547922
AHRQ2,AFONSO HENRIQUES,VLG2,41.23628822,-8.536551198
AJA1,PIAS (METRO),MAI1,41.20779841,-8.647291244
AJA2,PIAS (METRO),MAI1,41.20762932,-8.646848783
AKI1,AKI,VNG1,41.12223173,-8.624902785
AKI2,AKI,VNG1,41.12213269,-8.624902044
AL3,AV. ALIADOS,PRT1,41.14739209,-8.611428575
AL7,AV. ALIADOS,PRT1,41.14818269,-8.611312493
ALCF1,ALCAIDE FARIA,PRT2,41.17129813,-8.666854666
ALD1,ALDOAR JUNTA  FREG.,PRT2,41.17097493,-8.670625474
ALD2,ALDOAR JUNTA  FREG.,PRT2,41.17087415,-8.670468639
ALDN1,ALDEIA NOVA,MTS2,41.22467276,-8.71070569
ALDN2,ALDEIA NOVA,MTS2,41.22459494,-8.710855335
ALF,ALFENA,VLG2,41.24078341,-8.525521138
ALFC1,ALFREDO CUNHA,MTS1,41.18406614,-8.683717965
ALFC2,ALFREDO CUNHA,MTS1,41.18438764,-8.684268906
ALFG1,ALFÂNDEGA,PRT1,41.14383841,-8.621984753
ALFG2,ALFÂNDEGA,PRT1,41.1439474,-8.622612125
ALFG5,ALFÂNDEGA,PRT1,41.14379783,-8.622186315
ALFK2,ALFREDO KEIL,PRT2,41.15675529,-8.666084454
ALFN1,ALFENA,VLG2,41.24041467,-8.525399641
ALFN2,ALFENA,VLG2,41.24105985,-8.526622317
ALFN3,ALFENA,VLG2,41.24073132,-8.527584467
ALM1,ALAMEDA,PRT1,41.14176173,-8.59900665
ALM2,ALAMEDA,PRT1,41.14168806,-8.599185469
ALMG1,ALMEIRIGA,MTS2,41.20819576,-8.69623029
ALMG2,ALMEIRIGA,MTS2,41.20821714,-8.696392622
ALNV1,ALDEIA NOVA,VNG4,41.10069069,-8.648226612
ALNV2,ALDEIA NOVA,VNG4,41.10052947,-8.648034899
ALPR1,ALFÉRES PEREIRA,VNG1,41.12429442,-8.616237705
ALRD1,ALVES REDOL,VNG1,41.10919631,-8.617327184
ALRD2,ALVES REDOL,VNG1,41.10908288,-8.617361588
ALT1, ALTOS,MAI1,41.23693098,-8.612905399
ALT2, ALTOS,MAI1,41.2369769,-8.612691034
ALUM1,ALUMIARA,VNG5,41.13260961,-8.652394825
ALUM2,ALUMIARA,VNG5,41.13140677,-8.65356428
ALVC,ÁLVARO CASTELÕES,MTS1,41.18335254,-8.687896521
ALVS1,JOAQUIM ALVES SILVA,MTS2,41.22418675,-8.695121983
ALVS2,JOAQUIM ALVES SILVA,MTS2,41.22395312,-8.695024575
ALVT2,ALMEIDA VALENTE,PRT3,41.17509785,-8.60941981
ALX1,ALEIXO,PRT2,41.15260734,-8.649408514
ALX2,ALEIXO,PRT2,41.1518493,-8.649299753
ALXH1,ALEX. HERCULANO,VLG2,41.24253641,-8.523694607
ALXH2,ALEX. HERCULANO,VLG2,41.24270789,-8.523576342
ALXH3,ALEX. HERCULANO,PRT1,41.14426059,-8.605230065
AM1,ALTO DA MAIA,MAI4,41.20647223,-8.567210534
AM2,ALTO DA MAIA,MAI4,41.20764276,-8.567206369
AM3,ALTO DA MAIA,MAI4,41.20662104,-8.565625975
AM4,ALTO DA MAIA,MAI4,41.20689372,-8.566310787
AML1,AMIAL,PRT3,41.18250712,-8.613407433
AML2,AMIAL,PRT3,41.18319571,-8.612762282
AML3,AMIAL,PRT3,41.18363864,-8.612348386
AML4,AMIAL,MAI1,41.18409126,-8.613364031
AMR1,AMOROSA,MTS2,41.20219161,-8.696638142
AMR2,AMOROSA,MTS2,41.20217758,-8.696793811
AMR3,AMOROSA,MTS2,41.20062455,-8.696293142
AMRQ2,ANTÓNIO MARQUES,MAI1,41.23858656,-8.612985809
AMRQ3,ANTÓNIO MARQUES,MAI1,41.23868421,-8.613514661
AMSE,A.SANTOS (ESCOLAS),VNG4,41.0983785,-8.623081809
ANG,ANGOLA,VNG1,41.1223659,-8.605804827
ANT1,ANTAS (L. CIDADÃO),PRT1,41.16533944,-8.588730509
ANT2,ANTAS (L. CIDADÃO),PRT1,41.16496375,-8.589152451
ANTG1,ANTUNES GUIMARÃES,PRT2,41.17055465,-8.655652325
ANTG2,ANTUNES GUIMARÃES,PRT2,41.17045849,-8.655773958
ANTZ1,ANTUNES AZEVEDO,MAI3,41.24164826,-8.610935962
ANTZ2,ANTUNES AZEVEDO,MAI3,41.24159508,-8.610732786
ANV1,ALDEIA NOVA,MAI4,41.22038901,-8.586728385
ANV2,ALDEIA NOVA,MAI4,41.22125445,-8.586460106
AP1,ANTÓNIO PEDRO,MAI1,41.18804727,-8.644454566
AP2,ANTÓNIO PEDRO,MAI1,41.18814768,-8.645198736
APDL1,APDL,MTS2,41.18807871,-8.702978715
APDL2,APDL,MTS2,41.18784264,-8.70304783
APRD1,ARCO DO PRADO,VNG1,41.1267234,-8.625135888
APRD2,ARCO DO PRADO,VNG1,41.12710409,-8.624641553
APRD3,ARCO DO PRADO,VNG1,41.12677212,-8.624810761
APT1,ANTÓNIO PATRÍCIO,PRT1,41.15916955,-8.640843218
APT3,ANTÓNIO PATRÍCIO,PRT1,41.1587107,-8.640517083
AQL1,ANTERO DE QUENTAL,PRT1,41.16268389,-8.610151398
AQL2,ANTERO DE QUENTAL,PRT1,41.16164725,-8.610925388
AQR1,AQUILINO RIBEIRO,MAI3,41.24549673,-8.618622748
AQR2,AQUILINO RIBEIRO,MAI3,41.24518538,-8.61891702
AR1,ALMIRANTE REIS,MAI1,41.19407831,-8.604855462
AR2,ALMIRANTE REIS,MAI1,41.19427601,-8.604952245
ARCO1,ARCO,MAI1,41.21374902,-8.601543426
ARCO2,ARCO,MAI1,41.21385612,-8.601432706
ARDG1,ARDEGÃES,MAI4,41.22596659,-8.567670979
ARDG2,ARDEGÃES,MAI4,41.22604476,-8.56778157
ARDG3,ARDEGÃES,MAI4,41.22730607,-8.567145436
ARDG4,ARDEGÃES,MAI4,41.22721912,-8.566763724
AREI,AREIAS,PRT3,41.15935558,-8.555126513
AREI2,AREIAS,PRT3,41.15916268,-8.555746098
ARJ1,ARAÚJO,MAI1,41.21931798,-8.636990992
ARJ2,ARAÚJO,MAI1,41.21930142,-8.63712934
ARNH1,AREINHO,PRT3,41.14449117,-8.578656185
ARNH2,AREINHO,PRT3,41.14441371,-8.578541024
ARR,ANTÓNIO R.ROCHA,VNG1,41.11734436,-8.609495343
ARRB1,ARRÁBIDASHOPPING,VNG1,41.14115075,-8.635001591
ARRB2,ARRÁBIDASHOPPING,VNG1,41.13922102,-8.635653812
ARRB3,ARRÁBIDASHOPPING,VNG1,41.1391048,-8.635462361
ARRG1,ARREGADAS,MAI4,41.21651502,-8.585020244
ARRG2,ARREGADAS,MAI4,41.21695996,-8.584069376
ARRV1,ARREGADAS (VIADUTO),MAI4,41.21996927,-8.574287935
ARRV2,ARREGADAS (VIADUTO),MAI4,41.2200317,-8.574443378
ARS2,AREOSA,PRT3,41.18027091,-8.583471338
ARS3,AREOSA,PRT3,41.18064007,-8.583473874
ARS4,AREOSA,PRT3,41.1806076,-8.582567911
ARS5,AREOSA,PRT3,41.18155063,-8.583912601
ARS7,AREOSA,MAI4,41.18143537,-8.585016731
ARS8,AREOSA,PRT3,41.18072381,-8.582783225
ARSF3,AREOSA (FEIRA),MAI4,41.1852913,-8.582159037
ARSF4,AREOSA (FEIRA),MAI4,41.18511202,-8.581955195
ARSM2,AREOSA (MERCADO),MAI4,41.18245212,-8.582902341
ARSM3,AREOSA (MERCADO),MAI4,41.18277725,-8.581120628
ARSR1,ROT. DA AREOSA,PRT3,41.18067153,-8.581107354
ART5,ARROTEIA,MAI4,41.18789168,-8.596217378
ART6,ARROTEIA,MAI4,41.18798787,-8.596141564
ART7,ARROTEIA,MAI1,41.19983232,-8.621979838
ART8,ARROTEIA,MAI1,41.19966145,-8.621930879
AS1,ANTÓNIO SANTOS,MAI4,41.20641008,-8.583352938
AS2,ANTÓNIO SANTOS,MAI4,41.2063283,-8.583543133
ASOT1,ALTO DE SOUTELO,GDM1,41.16674112,-8.547582953
ASOT2,ALTO DE SOUTELO,GDM1,41.16635544,-8.546260396
ASOT3,ALTO DE SOUTELO,GDM1,41.16609214,-8.546866403
ASP2,ALBERTO SAMPAIO,PRT2,41.17839638,-8.627368765
ASP3,ASPRELA,PRT3,41.18167057,-8.595376611
ASP4,ASPRELA,PRT3,41.18221828,-8.596427581
ASPL1,ASPRELA,MAI1,41.18448064,-8.604702972
ASRR1,ALTO DA SERRA,GDM1,41.19337223,-8.517993974
ASRR2,ALTO DA SERRA,VLG1,41.19498595,-8.518464051
ASRR3,ALTO DA SERRA,VLG1,41.19452788,-8.518127592
ASRR4,ALTO DA SERRA,GDM1,41.19304852,-8.518341322
AST1,ÁGUAS SANTAS,MAI4,41.21006719,-8.577937094
AST2,ÁGUAS SANTAS,MAI4,41.21014035,-8.578060925
ASZ1,ABEL SALAZAR,MAI1,41.20037079,-8.611707771
ASZ2,ABEL SALAZAR,MAI1,41.20032508,-8.611874334
ASZ3,ABEL SALAZAR,MAI1,41.19930287,-8.608683954
ASZ4,ABEL SALAZAR,MAI1,41.20036343,-8.609144657
ASZE1,PINTOR ARPAD SZENES,PRT2,41.1572129,-8.65265497
ATSR1,ALTO DA SERRA,GDM2,41.1599529,-8.517936466
ATSR2,ALTO DA SERRA,GDM2,41.15998425,-8.517797972
AUL1,AUGUSTO LESSA,PRT1,41.16989428,-8.602453273
AUL2,AUGUSTO LESSA,PRT1,41.16999024,-8.602463223
AUS,ESC. AURÉLIA SOUSA,PRT1,41.16044872,-8.600538566
AV1,ALTO DO VISO,PRT2,41.18397451,-8.643087967
AV2,ALTO DO VISO,PRT2,41.1842795,-8.641314514
AVC1,AVAL CIMA,PRT1,41.16845943,-8.60333853
AVC2,AVAL CIMA,PRT1,41.16822121,-8.603495038
AVES1,AVESSADA,MTS2,41.20925179,-8.681533039
AVES2,AVESSADA,MTS2,41.20926815,-8.681878938
AVF2,AV.FRANÇA,PRT1,41.16464391,-8.625821046
AVLH2,AVILHÓ,MAI1,41.19649237,-8.638500585
AVLH3,AVILHÓ,MAI1,41.19668457,-8.639837167
AVLM1,AV.LIDADOR DA MAIA,MAI4,41.20569154,-8.561080574
AVLM2,AV.LIDADOR DA MAIA,MAI4,41.20562765,-8.561321054
AVM1,AV. MENÉRES,MTS1,41.17810632,-8.689186376
AVTE1,ALMEIDA VALENTE,PRT3,41.17678398,-8.611265505
AVTE2,ALMEIDA VALENTE,PRT3,41.17686612,-8.611442127
AZ,AZENHA,PRT3,41.18161532,-8.613656791
AZC1,AZENHA DE CIMA,MTS1,41.18021636,-8.660524346
AZC2,AZENHA DE CIMA,MTS1,41.17997181,-8.660137196
AZC3,AZENHA DE CIMA,PRT2,41.17718828,-8.66063363
AZN1,AZENHA NOVA,MAI1,41.20738322,-8.607776883
AZN2,AZENHA NOVA,MAI1,41.20773564,-8.60746945
AZV,AZEVEDO,PRT3,41.15161674,-8.566510229
AZV1,AZEVEDO,PRT3,41.15152356,-8.566394204
AZV2,AZEVEDO,PRT3,41.15180925,-8.567039361
AZV3,AZEVEDO,PRT3,41.15198059,-8.566969019
BAR1,BARÃO,MTS2,41.22492955,-8.690070665
BAR2,BARÃO,MTS2,41.22448406,-8.691721035
BARC1,BARCA,MAI3,41.24689502,-8.607204506
BARC2,BARCA,MAI3,41.24697527,-8.607395962
BARO1,BAIRRO ANT. AROSO,PRT2,41.16794824,-8.669461513
BARO2,BAIRRO ANT. AROSO,PRT2,41.16836846,-8.669056967
BARR1,BARREIRA,VLG2,41.23314521,-8.525837826
BARR2,BARREIRA,VLG2,41.23308334,-8.52601167
BAT1,BATARIA,MTS2,41.20613636,-8.696433612
BAT2,BATARIA,MTS2,41.20575685,-8.696744765
BBL,BAIRRO BESSA LEITE,PRT1,41.15766935,-8.645596
BBL1,BAIRRO BESSA LEITE,PRT1,41.15887355,-8.644101357
BCG,BCG,PRT1,41.163649,-8.61791895
BCH1,BICHEIROS,VNG4,41.09357004,-8.642871388
BCH2,BICHEIROS,VNG4,41.09343051,-8.642716813
BCM1,BOAVISTA-CASA DA MÚSICA,PRT1,41.15893029,-8.629495872
BCM2,BOAVISTA-CASA DA MÚSICA,PRT1,41.15979949,-8.628484326
BCM3,BOAVISTA-CASA DA MÚSICA,PRT1,41.15948479,-8.628572528
BCM4,BOAVISTA-CASA DA MÚSICA,PRT1,41.15891191,-8.630063223
BCM5,BOAVISTA-CASA DA MÚSICA,PRT1,41.15942918,-8.628743637
BCNT,BR.CONTUMIL,PRT3,41.16585722,-8.580703422
BCP1,BR.CERCO PORTO,PRT3,41.15733384,-8.570447393
BCP2,BR.CERCO PORTO,PRT3,41.15754284,-8.56994842
BEL1,BELA,MAI4,41.22628769,-8.54864123
BEL2,BELA,MAI4,41.22680471,-8.548625718
BELA1,BELA,VNG4,41.09366267,-8.647990672
BELA2,BELA,VNG4,41.09354915,-8.647977783
BFAL1,BR. FALCÃO,PRT3,41.15864901,-8.575307877
BFAL2,BR. FALCÃO,PRT3,41.15894925,-8.575282049
BFB,BONFIM BARREIROS,PRT3,41.16930099,-8.584230103
BFM2,BONFIM,PRT1,41.15031113,-8.594926401
BFM4,BONFIM,PRT1,41.15060288,-8.594715336
BFM8,BONFIM,PRT1,41.15150515,-8.594235612
BFTM1,BR. FONTE DA MOURA,PRT2,41.17105337,-8.657966541
BFTM2,BR. FONTE DA MOURA,PRT2,41.17111261,-8.658361848
BFTM3,BR. FONTE DA MOURA,PRT2,41.17066479,-8.660874494
BFTM4,BR.FONTE DA MOURA,PRT2,41.17036794,-8.660750403
BGJ1,BRAGA JÚNIOR,VNG5,41.13078555,-8.649558071
BGJ2,BRAGA JÚNIOR,VNG5,41.13071598,-8.649009729
BH1,BELO HORIZONTE,GDM2,41.15376216,-8.513863345
BH2,BELO HORIZONTE,GDM2,41.15384683,-8.513731188
BIC1,BICALHO,PRT1,41.14854376,-8.6368984
BIC2,BICALHO,PRT1,41.14831879,-8.636527835
BIC3,BICALHO,PRT1,41.14825139,-8.635907321
BIC4,BICALHO,PRT1,41.14816533,-8.635853765
BJ1,BENTO JÚNIOR,PRT1,41.16543105,-8.60379377
BJ3,BENTO JÚNIOR,PRT1,41.16552266,-8.604376506
BL1,BARROS LIMA,PRT1,41.15431974,-8.595170339
BL2,BARROS LIMA,PRT1,41.15512922,-8.595391902
BL4,BARROS LIMA,PRT1,41.15412826,-8.595764633
BLD1,BALDÕES,MTS2,41.21798407,-8.679496629
BLD2,BALDÕES,MTS2,41.21804512,-8.679593755
BLFZ1,BOLHÃO (FIRMEZA),PRT1,41.15146398,-8.606295314
BLG1,BERLENGAS,PRT3,41.18024755,-8.613682206
BLG2,BERLENGAS,PRT3,41.17954938,-8.613917464
BLGT1,BR. LAGARTEIRO,PRT3,41.15341506,-8.567297287
BLGT2,BR.LAGARTEIRO,PRT3,41.15330314,-8.567273674
BLM,BOLHÃO (METRO),PRT1,41.14968137,-8.604960924
BLRB1,BOLHÃO,PRT1,41.15189519,-8.607069637
BLRB2,BOLHÃO,PRT1,41.15169919,-8.607146614
BLRB3,BOLHÃO,PRT1,41.15144318,-8.607264946
BLRB4,BOLHÃO,PRT1,41.15100327,-8.60695205
BMAF1,BEATA MAFALDA,PRT3,41.16524106,-8.575373196
BNJ1,BONJÓIA,PRT3,41.15202326,-8.574676662
BNJ2,BONJÓIA,PRT3,41.15179807,-8.574698972
BNV2,BOA NOVA,VNG4,41.09743881,-8.619611159
BOIM1,BOI MORTO,MAI4,41.1949687,-8.594014457
BOIM2,BOI MORTO,MAI4,41.19505817,-8.594158129
BOVT1,BOAVISTA,MAI4,41.22979916,-8.548390051
BOVT2,BOAVISTA,MAI4,41.22988889,-8.548474106
BPTL1,BR. DA PASTELEIRA,PRT2,41.15510069,-8.65813832
BPTL2,BR. DA PASTELEIRA,PRT2,41.15492162,-8.658152375
BRA1,BR.DO AMIAL,PRT2,41.17649054,-8.620038006
BRA4,BR. DO AMIAL,PRT2,41.17672431,-8.620723124
BRA5,BR. DO AMIAL,PRT2,41.1768602,-8.619954181
BRB3,BERNARDIM RIBEIRO,PRT3,41.16493568,-8.566019169
BRB4,BERNARDIM RIBEIRO,PRT3,41.16472627,-8.565671195
BRBQ1,BAIRRO DA BIQUINHA,MTS1,41.17417833,-8.675265862
BRBQ4,BAIRRO DA BIQUINHA,MTS1,41.17526851,-8.674384898
BRC1,BR. CEDRO,VNG1,41.11178985,-8.609240795
BRC2,BR. CEDRO,VNG1,41.11190656,-8.609324976
BRCC1,BR. COSTA CABRAL,PRT3,41.17198276,-8.585598558
BRCC2,BR. COSTA CABRAL,PRT3,41.17174205,-8.585962059
BRCP1,BR. CAMPINAS,PRT2,41.16907943,-8.650850799
BRCP2,BR. CAMPINAS,PRT2,41.16900003,-8.651006074
BRCV,BR.CARVALHIDO,PRT1,41.16910649,-8.622930455
BRG1,BR.GUARDAS,MTS2,41.22048378,-8.668582083
BRG2,BR.GUARDAS,MTS2,41.22033415,-8.668496583
BRIB1,BERNARDIM RIBEIRO,VNG1,41.11224114,-8.611148904
BRIB2,BERNARDIM RIBEIRO,VNG1,41.11239332,-8.611364306
BRNS,BERNARDO SANTARENO,MTS1,41.17671757,-8.6725974
BRO1,BRÁS OLEIRO,MAI4,41.19715236,-8.576032759
BRO2,BRÁS OLEIRO,MAI4,41.19784024,-8.575999682
BRP1,BAIRRO DA PREVIDÊNCIA,PRT2,41.16571853,-8.657607399
BRP2,BAIRRO DA PREVIDÊNCIA,PRT2,41.1656808,-8.65744627
BRR1,BARREIROS,GDM1,41.15908305,-8.52218769
BRR2,BARREIROS,GDM1,41.15921264,-8.522273739
BRRG1,BR.REGADO,PRT2,41.17553793,-8.615982461
BRRG2,BR.REGADO,PRT2,41.17532763,-8.61664737
BRRM1,BR. RAMALDE,PRT2,41.17043264,-8.648441969
BRRM2,BR. RAMALDE,PRT2,41.17030344,-8.648411792
BRRO1,BARREIRO,VCD8,41.23375627,-8.67031344
BRRO2,BARREIRO,VCD8,41.23388356,-8.670480011
BRRO3,BARREIRO,VCD8,41.2337387,-8.668999782
BRRO4,BARREIRO,VCD8,41.23359437,-8.669058237
BRRS,BARROSA,VNG1,41.12505804,-8.612349544
BRRS1,BARROCAS,PRT3,41.17246675,-8.587445407
BRRS2,BARROCAS,PRT3,41.1718825,-8.587980845
BRSE1,BR. STO. EUGÉNIO,PRT2,41.18126618,-8.636535985
BRSE2,BR. STO. EUGÉNIO,PRT2,41.18152812,-8.636347312
BRTC1,BRITO CAPELO,MTS1,41.18235017,-8.690401434
BRTC2,BRITO CAPELO,MTS1,41.18171231,-8.690302406
BRTC4,BRITO CAPELO,MTS1,41.1818428,-8.690062948
BRTC5,BRITO CAPELO,MTS1,41.17856724,-8.688796223
BRV1,BAIRRO VILARINHA,PRT2,41.16709197,-8.659942405
BRV2,BAIRRO VILARINHA,PRT2,41.16723163,-8.660020379
BRV3,BAIRRO DA VILARINHA,PRT2,41.16624313,-8.659595417
BRV4,BAIRRO DA VILARINHA,PRT2,41.16617945,-8.659694771
BRVS,BAIRRO DO VISO,PRT2,41.18124958,-8.648405923
BS1,BOAVISTA - B.SUCESSO,PRT1,41.15640955,-8.627919138
BS10,BOAVISTA (BOM SUCESSO),PRT1,41.15608822,-8.628580213
BS2,BOAVISTA - B.SUCESSO,PRT1,41.15532822,-8.628214892
BS4,BOAVISTA - B.SUCESSO,PRT1,41.15602155,-8.628417596
BS5,BOAVISTA-B.SUCESSO,PRT1,41.1561842,-8.628526959
BS6,BOAVISTA - B. SUCESSO,PRT1,41.15584943,-8.628307249
BS7,BOAVISTA - B.SUCESSO,PRT1,41.15594973,-8.628463171
BS8,BOM SUCESSO,PRT1,41.15517709,-8.628474046
BS9,BOAVISTA (BOM SUCESSO),PRT1,41.1557548,-8.628333247
BSB,SAPADOR. BOMBEIROS,PRT1,41.16336183,-8.615635072
BSEE1,BR. STO.EUGÉNIO (ESCOLA),PRT2,41.17916245,-8.637404423
